ID_Pelanggan;Umur;Penghasilan_Juta;Total_Belanja_Bulanan_Juta;Transaksi_Per_Bulan;Jenis_Kelamin;Kota;Kategori_Favorit;Pendidikan;Frekuensi_Belanja;Tingkat_Kepuasan;Status_Member;Menggunakan_Promo
1;44;1758;67;4;Perempuan;Surabaya;Elektronik;S2;Kadang;Rendah;0;0
2;37;1063;49;3;Laki-laki;Bandung;Fashion;S1;Kadang;Rendah;0;0
3;39;1093;14;1;Perempuan;Semarang;Hobi;S1;Jarang;Sangat Tinggi;1;1
4;53;1983;24;1;Laki-laki;Jakarta;Hobi;S3;Jarang;Sedang;1;0
5;18;37;12;1;Laki-laki;Medan;Kebutuhan Harian;SMA/SMK;Jarang;Sedang;0;0
6;46;1244;36;2;Laki-laki;Semarang;Kebutuhan Harian;S2;Jarang;Rendah;1;0
7;49;120;55;3;Perempuan;Makassar;Kecantikan;S1;Sering;Tinggi;1;1
8;53;186;6;3;Perempuan;Makassar;Kecantikan;S3;Kadang;Tinggi;1;1
9;40;1066;18;1;Laki-laki;Bandung;Kebutuhan Harian;S1;Jarang;Rendah;0;0
10;36;1033;13;1;Laki-laki;Makassar;Kecantikan;S1;Kadang;Rendah;0;1
11;23;87;0;0;Laki-laki;Jakarta;Olahraga;SMA/SMK;Jarang;Rendah;0;0
12;39;865;37;2;Perempuan;Bandung;Kecantikan;D3;Kadang;Sangat Tinggi;0;0
13;26;628;28;2;Perempuan;Yogyakarta;Kebutuhan Harian;D3;Jarang;Tinggi;0;1
14;17;30;0;0;Laki-laki;Bandung;Fashion;SMA/SMK;Jarang;Sedang;0;0
15;35;899;46;3;Laki-laki;Jakarta;Elektronik;S1;Kadang;Tinggi;0;0
16;25;422;15;1;Perempuan;Denpasar;Kecantikan;SMA/SMK;Kadang;Sedang;0;0
17;28;1094;6;4;Perempuan;Makassar;Elektronik;S1;Kadang;Tinggi;1;1
